departamento,year,total_homicides,total_population,homicide_rate
AMAZONAS,2003,13,43689,29.755773764563163
AMAZONAS,2004,5,37459,13.347927066926506
AMAZONAS,2005,11,37832,29.075914569676463
AMAZONAS,2006,10,38234,26.154731390908616
AMAZONAS,2007,8,38609,20.720557382993604
AMAZONAS,2008,9,38957,23.102394948276306
AMAZONAS,2009,6,39317,15.260574306279727
AMAZONAS,2010,10,39667,25.209872185948015
AMAZONAS,2011,11,47699,23.061280110694145
AMAZONAS,2012,10,40342,24.788062069307422
AMAZONAS,2013,11,40673,27.044968406559637
AMAZONAS,2014,20,41000,48.78048780487805
AMAZONAS,2015,9,41326,21.77805739728016
AMAZONAS,2016,18,49918,36.059136984654835
AMAZONAS,2017,5,50355,9.92950054612253
AMAZONAS,2018,8,57888,13.819789939192924
AMAZONAS,2019,6,59510,10.08233910267182
AMAZONAS,2020,7,50950,13.738959764474977
AMAZONAS,2021,24,52226,45.954122467736376
AMAZONAS,2022,33,53201,62.028909231029495
AMAZONAS,2023,21,54110,38.809831824062094
AMAZONAS,2024,21,54927,38.23256322027418
ANTIOQUIA,2003,4150,5481384,75.7108058840614
ANTIOQUIA,2004,2438,5552483,43.90828391550231
ANTIOQUIA,2005,2195,5634821,38.95420990302975
ANTIOQUIA,2006,2073,5654991,36.6578832751458
ANTIOQUIA,2007,1946,5780520,33.66479140284957
ANTIOQUIA,2008,2213,5854277,37.8014227888431
ANTIOQUIA,2009,2798,5866633,47.693455513579934
ANTIOQUIA,2010,2735,5940159,46.04253859198045
ANTIOQUIA,2011,2943,6020626,48.88196011511095
ANTIOQUIA,2012,3083,6137173,50.23485569007098
ANTIOQUIA,2013,2484,6264659,39.65100095631702
ANTIOQUIA,2014,1985,6316416,31.42604920258577
ANTIOQUIA,2015,1906,6390421,29.82589097025063
ANTIOQUIA,2016,1878,6507902,28.857226184413964
ANTIOQUIA,2017,1936,6559727,29.513423348258247
ANTIOQUIA,2018,2449,6330224,38.68741453698953
ANTIOQUIA,2019,2362,6477244,36.46612664275115
ANTIOQUIA,2020,2034,6596477,30.83464097578147
ANTIOQUIA,2021,2136,6687318,31.941056190239497
ANTIOQUIA,2022,1899,6759611,28.093332589700797
ANTIOQUIA,2023,1749,6740526,25.947529910870454
ANTIOQUIA,2024,1648,6853433,24.046342905810853
ARAUCA,2003,399,227738,175.20132784164258
ARAUCA,2004,326,230019,141.7274225172703
ARAUCA,2005,205,228468,89.72810196613968
ARAUCA,2006,152,231628,65.6224636054363
ARAUCA,2007,181,238361,75.93524108390214
ARAUCA,2008,249,241446,103.1286498844462
ARAUCA,2009,219,244507,89.56798782856933
ARAUCA,2010,193,244048,79.08280338294105
ARAUCA,2011,125,246687,50.67149870078277
ARAUCA,2012,155,249694,62.07598100074492
ARAUCA,2013,121,252666,47.889308415061784
ARAUCA,2014,143,252234,56.693387885852026
ARAUCA,2015,82,262315,31.26012618416789
ARAUCA,2016,87,261353,33.288311211273644
ARAUCA,2017,85,264161,32.17734639102668
ARAUCA,2018,128,262174,48.8225377039676
ARAUCA,2019,160,277305,57.69820234038333
ARAUCA,2020,95,291252,32.61780176616813
ARAUCA,2021,185,300637,61.536005215592226
ARAUCA,2022,356,307628,115.72418635494817
ARAUCA,2023,153,308587,49.580831337677864
ARAUCA,2024,178,317398,56.081008702008205
ATLÁNTICO,2003,789,2060818,38.285768078500865
ATLÁNTICO,2004,716,2123588,33.71652128378951
ATLÁNTICO,2005,583,2120217,27.497185429604613
ATLÁNTICO,2006,546,2091783,26.102133921157215
ATLÁNTICO,2007,496,2091744,23.7122707176404
ATLÁNTICO,2008,442,2100642,21.04118645633097
ATLÁNTICO,2009,493,2120518,23.249036320370777
ATLÁNTICO,2010,545,2226119,24.482069467085992
ATLÁNTICO,2011,525,2245853,23.37641867032259
ATLÁNTICO,2012,549,2294117,23.93077598047528
ATLÁNTICO,2013,508,2348570,21.63018347334761
ATLÁNTICO,2014,517,2394407,21.591984988349935
ATLÁNTICO,2015,568,2375999,23.905733967059753
ATLÁNTICO,2016,550,2414721,22.77695849748273
ATLÁNTICO,2017,559,2460211,22.721628348137617
ATLÁNTICO,2018,548,2479784,22.0986989189381
ATLÁNTICO,2019,518,2598364,19.93562102923224
ATLÁNTICO,2020,529,2623055,20.167323979100704
ATLÁNTICO,2021,713,2673260,26.671554581297745
ATLÁNTICO,2022,677,2701901,25.056432489569378
ATLÁNTICO,2023,727,2755203,26.38644049095475
ATLÁNTICO,2024,923,2780009,33.20133136259631
BOLÍVAR,2003,596,1640197,36.337098531456896
BOLÍVAR,2004,423,1682554,25.140352107569804
BOLÍVAR,2005,416,1704624,24.40420878739241
BOLÍVAR,2006,454,1658339,27.376790873277415
BOLÍVAR,2007,369,1701641,21.68494999826638
BOLÍVAR,2008,317,1723402,18.39385123145964
BOLÍVAR,2009,349,1717200,20.323782902399255
BOLÍVAR,2010,346,1803433,19.18563096050699
BOLÍVAR,2011,335,1846292,18.144475521748454
BOLÍVAR,2012,382,1822260,20.962980035779744
BOLÍVAR,2013,427,1932646,22.09406171642401
BOLÍVAR,2014,405,1864851,21.71755276963146
BOLÍVAR,2015,405,1972025,20.537264994105044
BOLÍVAR,2016,387,1998191,19.3675179199586
BOLÍVAR,2017,404,1970900,20.498249530671266
BOLÍVAR,2018,386,1935961,19.938418180944762
BOLÍVAR,2019,383,1998528,19.1641047811189
BOLÍVAR,2020,422,2081459,20.27424032853878
BOLÍVAR,2021,427,2095134,20.38055799772234
BOLÍVAR,2022,632,2145799,29.452898430840914
BOLÍVAR,2023,691,2209083,31.27994738088157
BOLÍVAR,2024,698,2166005,32.225225703541774
BOYACÁ,2003,296,1041063,28.432477189180673
BOYACÁ,2004,250,933843,26.771095355429125
BOYACÁ,2005,175,883800,19.800859923059516
BOYACÁ,2006,151,898244,16.81057708150569
BOYACÁ,2007,163,836569,19.484346180649773
BOYACÁ,2008,144,906664,15.882399654116629
BOYACÁ,2009,140,862260,16.23640201331385
BOYACÁ,2010,112,874756,12.803570367050925
BOYACÁ,2011,107,827642,12.928295084106413
