departamento,municipio,year,total_homicides,municipio_code,region,population,homic_rate
AMAZONAS,LETICIA (CT),2003,10,91001,Amazonia,37049,26.991281815973437
AMAZONAS,LETICIA (CT),2004,5,91001,Amazonia,37459,13.347927066926506
AMAZONAS,LETICIA (CT),2005,11,91001,Amazonia,37832,29.075914569676463
AMAZONAS,LETICIA (CT),2006,10,91001,Amazonia,38234,26.154731390908616
AMAZONAS,LETICIA (CT),2007,8,91001,Amazonia,38609,20.720557382993604
AMAZONAS,LETICIA (CT),2008,9,91001,Amazonia,38957,23.102394948276306
AMAZONAS,LETICIA (CT),2009,6,91001,Amazonia,39317,15.260574306279727
AMAZONAS,LETICIA (CT),2010,10,91001,Amazonia,39667,25.209872185948015
AMAZONAS,LETICIA (CT),2011,10,91001,Amazonia,40008,24.99500099980004
AMAZONAS,LETICIA (CT),2012,10,91001,Amazonia,40342,24.788062069307422
AMAZONAS,LETICIA (CT),2013,11,91001,Amazonia,40673,27.044968406559637
AMAZONAS,LETICIA (CT),2014,20,91001,Amazonia,41000,48.78048780487805
AMAZONAS,LETICIA (CT),2015,9,91001,Amazonia,41326,21.77805739728016
AMAZONAS,LETICIA (CT),2016,17,91001,Amazonia,41639,40.82710920050914
AMAZONAS,LETICIA (CT),2017,4,91001,Amazonia,41957,9.533570083657079
AMAZONAS,LETICIA (CT),2018,7,91001,Amazonia,48144,14.53971419076105
AMAZONAS,LETICIA (CT),2019,5,91001,Amazonia,49521,10.096726641222917
AMAZONAS,LETICIA (CT),2020,7,91001,Amazonia,50950,13.738959764474977
AMAZONAS,LETICIA (CT),2021,24,91001,Amazonia,52226,45.954122467736376
AMAZONAS,LETICIA (CT),2022,33,91001,Amazonia,53201,62.028909231029495
AMAZONAS,LETICIA (CT),2023,21,91001,Amazonia,54110,38.809831824062094
AMAZONAS,LETICIA (CT),2024,21,91001,Amazonia,54927,38.23256322027418
AMAZONAS,PUERTO NARIÑO,2003,3,91540,Amazonia,6640,45.18072289156627
AMAZONAS,PUERTO NARIÑO,2011,1,91540,Amazonia,7691,13.00221037576388
AMAZONAS,PUERTO NARIÑO,2016,1,91540,Amazonia,8279,12.078753472641623
